correct	remote	native	IST	thick local	jdbc	legacy	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	IST	remote	binary	legacy	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	IST	remote	jdbc	legacy	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	IST	remote	native	legacy	IST	2019-09-08		22:39:09		2019-09-08 23:39:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	legacy	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	IST	remote	jdbc	literal	EST5EDT	2019-09-08		01:09:09		2019-09-09 02:09:09.09	
INVALID	remote	native	IST	remote	native	literal	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	literal	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.09	
INVALID	remote	native	IST	local	jdbc	literal	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.09	
INVALID	remote	native	IST	local	native	literal	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.0909	
INVALID	remote	native	IST	local->remote	jdbc	literal	Europe/Moscow	2019-09-08		22:39:09		2019-09-08 23:39:09.09	
INVALID	remote	native	IST	thick local	jdbc	literal	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.09	
INVALID	remote	native	IST	remote	jdbc	literal	IST	2019-09-08		01:09:09		2019-09-09 02:09:09.09	
INVALID	remote	native	IST	remote	native	literal	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	IST	thick remote	jdbc	literal	IST	2019-09-08		22:39:09		2019-09-08 23:39:09.09	
INVALID	remote	native	IST	remote	binary	modern	EST5EDT	2019-09-09		16:09:09		2019-09-09 16:09:09.909	
INVALID	remote	native	IST	remote	jdbc	modern	EST5EDT	2019-09-08		09:09:09		2019-09-09 09:09:09.909	
correct	remote	native	IST	remote	native	modern	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.909	
correct	remote	native	IST	thick remote	jdbc	modern	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.909	
INVALID	remote	native	IST	local	binary	modern	Europe/Moscow	2019-09-09		02:09:09		2019-09-09 02:09:09.909	
INVALID	remote	native	IST	local	jdbc	modern	Europe/Moscow	2019-09-08		02:09:09		2019-09-09 02:09:09.909	
INVALID	remote	native	IST	local	native	modern	Europe/Moscow	2019-09-09		02:09:09		2019-09-09 02:09:09.909	
INVALID	remote	native	IST	local->remote	jdbc	modern	Europe/Moscow	2019-09-08		09:09:09		2019-09-09 09:09:09.909	
correct	remote	native	IST	thick local	jdbc	modern	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.909	
INVALID	remote	native	IST	remote	binary	modern	IST	2019-09-09		06:39:09		2019-09-09 06:39:09.909	
INVALID	remote	native	IST	remote	jdbc	modern	IST	2019-09-09		06:39:09		2019-09-09 06:39:09.909	
INVALID	remote	native	IST	remote	native	modern	IST	2019-09-09		23:39:09		2019-09-08 23:39:09.909	
INVALID	remote	native	IST	thick remote	jdbc	modern	IST	2019-09-09		23:39:09		2019-09-08 23:39:09.909	
correct	remote	native	EST5EDT	remote	native	JSR310	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	EST5EDT	thick remote	jdbc	JSR310	EST5EDT	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	EST5EDT	local	native	JSR310	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	EST5EDT	thick local	jdbc	JSR310	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	EST5EDT	remote	native	JSR310	IST	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
correct	remote	native	EST5EDT	thick remote	jdbc	JSR310	IST	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	EST5EDT	remote	jdbc	calendarized	EST5EDT	2019-09-08		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	EST5EDT	thick remote	jdbc	calendarized	EST5EDT	2019-09-09		17:09:09		2019-09-09 16:09:09.0909	
correct	remote	native	EST5EDT	local	jdbc	calendarized	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	EST5EDT	local->remote	jdbc	calendarized	Europe/Moscow	2019-09-08		01:09:09		2019-09-09 02:09:09.0909	
correct	remote	native	EST5EDT	thick local	jdbc	calendarized	Europe/Moscow	2019-09-09		09:09:09		2019-09-09 09:09:09.0909	
INVALID	remote	native	EST5EDT	remote	jdbc	calendarized	IST	2019-09-08		06:39:09		2019-09-09 06:39:09.0909	
INVALID	remote	native	EST5EDT	thick remote	jdbc	calendarized	IST	2019-09-08		22:39:09		2019-09-08 23:39:09.0909	
